MULTICAST -----> udp://@225.1.1.49 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:51|STATUS_PLAYING udp://@225.1.1.49:2000
MULTICAST -----> udp://@225.1.1.30 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:52|INFORMATION_RECEIVED udp://@225.1.1.30:2000
MULTICAST -----> udp://@225.1.1.30 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:52|STATUS_PLAYING udp://@225.1.1.30:2000
MULTICAST -----> udp://@225.1.1.51 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:55|INFORMATION_RECEIVED udp://@225.1.1.51:2000
MULTICAST -----> udp://@225.1.1.51 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:55|STATUS_PLAYING udp://@225.1.1.51:2000
MULTICAST -----> udp://@225.1.1.47 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:57|INFORMATION_RECEIVED udp://@225.1.1.47:2000
MULTICAST -----> udp://@225.1.1.47 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:57|STATUS_PLAYING udp://@225.1.1.47:2000
MULTICAST -----> udp://@225.1.1.34 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:4|INFORMATION_RECEIVED udp://@225.1.1.34:2000
MULTICAST -----> udp://@225.1.1.34 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:4|STATUS_PLAYING udp://@225.1.1.34:2000
MULTICAST -----> udp://@225.1.1.40 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:5|INFORMATION_RECEIVED udp://@225.1.1.40:2000
MULTICAST -----> udp://@225.1.1.40 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:5|STATUS_PLAYING udp://@225.1.1.40:2000
MULTICAST -----> udp://@225.1.1.36 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:12|INFORMATION_RECEIVED udp://@225.1.1.36:2000
MULTICAST -----> udp://@225.1.1.36 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:12|STATUS_PLAYING udp://@225.1.1.36:2000
MULTICAST -----> udp://@225.1.1.37 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:16|INFORMATION_RECEIVED udp://@225.1.1.37:2000
MULTICAST -----> udp://@225.1.1.37 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:17|STATUS_PLAYING udp://@225.1.1.37:2000
MULTICAST -----> udp://@225.1.1.38 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:20|INFORMATION_RECEIVED udp://@225.1.1.38:2000
MULTICAST -----> udp://@225.1.1.38 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:20|STATUS_PLAYING udp://@225.1.1.38:2000
MULTICAST -----> udp://@225.1.1.42 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:26|INFORMATION_RECEIVED udp://@225.1.1.42:2000
MULTICAST -----> udp://@225.1.1.42 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:26|STATUS_PLAYING udp://@225.1.1.42:2000
MULTICAST -----> udp://@225.1.1.81 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:38|INFORMATION_RECEIVED udp://@225.1.1.81:2000
MULTICAST -----> udp://@225.1.1.81 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:38|STATUS_PLAYING udp://@225.1.1.81:2000
MULTICAST -----> udp://@225.1.1.89 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:43|INFORMATION_RECEIVED udp://@225.1.1.89:2000
MULTICAST -----> udp://@225.1.1.89 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:34:43|STATUS_PLAYING udp://@225.1.1.89:2000
MULTICAST -----> udp://@225.1.1.39 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:17|INFORMATION_RECEIVED udp://@225.1.1.39:2000
MULTICAST -----> udp://@225.1.1.39 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:17|STATUS_PLAYING udp://@225.1.1.39:2000
MULTICAST -----> udp://@225.1.1.89 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:19|INFORMATION_RECEIVED udp://@225.1.1.89:2000
MULTICAST -----> udp://@225.1.1.89 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:19|STATUS_PLAYING udp://@225.1.1.89:2000
MULTICAST -----> udp://@225.1.1.81 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:21|INFORMATION_RECEIVED udp://@225.1.1.81:2000
MULTICAST -----> udp://@225.1.1.81 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:22|STATUS_PLAYING udp://@225.1.1.81:2000
MULTICAST -----> udp://@225.1.1.89 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:23|INFORMATION_RECEIVED udp://@225.1.1.89:2000
MULTICAST -----> udp://@225.1.1.89 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:23|STATUS_PLAYING udp://@225.1.1.89:2000
MULTICAST -----> udp://@225.1.1.39 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:25|INFORMATION_RECEIVED udp://@225.1.1.39:2000
MULTICAST -----> udp://@225.1.1.39 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:25|STATUS_PLAYING udp://@225.1.1.39:2000
MULTICAST -----> udp://@225.1.1.35 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:26|INFORMATION_RECEIVED udp://@225.1.1.35:2000
MULTICAST -----> udp://@225.1.1.35 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:27|STATUS_PLAYING udp://@225.1.1.35:2000
MULTICAST -----> udp://@225.1.1.41 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:28|INFORMATION_RECEIVED udp://@225.1.1.41:2000
MULTICAST -----> udp://@225.1.1.41 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:28|STATUS_PLAYING udp://@225.1.1.41:2000
MULTICAST -----> udp://@225.1.1.88 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:30|INFORMATION_RECEIVED udp://@225.1.1.88:2000
